Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,Batsman,Year,Start Date
0*,0,0,0.0,0,0,Ireland,Harare,03/10/2018,Kemar Roach,2018,2018
0*,0,0,0.0,0,0,Scotland,Harare,03/21/2018,Kemar Roach,2018,2018
0,0,1,0.0,0,0,Afghanistan,Harare,03/25/2018,Kemar Roach,2018,2018
26*,26,22,118.18,2,1,India,Guwahati,10/21/2018,Kemar Roach,2018,2018
0*,0,0,0.0,0,0,India,Visakhapatnam,10/24/2018,Kemar Roach,2018,2018
15*,15,19,78.94,1,1,India,Pune,10/27/2018,Kemar Roach,2018,2018
6,6,27,22.22,0,0,India,Mumbai (BS),10/29/2018,Kemar Roach,2018,2018
5,5,15,33.33,1,0,India,Thiruvananthapuram,11/01/2018,Kemar Roach,2018,2018
5*,5,8,62.5,0,0,Bangladesh,Dhaka,12/09/2018,Kemar Roach,2018,2018
3,3,8,37.5,0,0,Bangladesh,Sylhet,12/14/2018,Kemar Roach,2018,2018
1,1,2,50.0,0,0,Bangladesh,Dublin,05/07/2019,Kemar Roach,2019,2019
3*,3,4,75.0,0,0,Bangladesh,Dublin (Malahide),05/13/2019,Kemar Roach,2019,2019
0,0,4,0.0,0,0,England,Bridgetown,02/20/2019,Nicholas Pooran ,2019,2019
5*,5,6,83.33,0,0,Sri Lanka,Harare,11/16/2016,Ashley Nurse,2016,2016
0,0,0,0.0,0,0,Zimbabwe,Bulawayo,11/19/2016,Ashley Nurse,2016,2016
2,2,3,66.66,0,0,Sri Lanka,Bulawayo,11/23/2016,Ashley Nurse,2016,2016
21,21,15,140.0,0,2,England,North Sound,03/03/2017,Ashley Nurse,2017,2017
13,13,10,130.0,2,0,England,North Sound,03/05/2017,Ashley Nurse,2017,2017
6,6,9,66.66,1,0,England,Bridgetown,03/09/2017,Ashley Nurse,2017,2017
34*,34,15,226.66,5,1,Pakistan,Providence,04/07/2017,Ashley Nurse,2017,2017
44,44,43,102.32,6,1,Pakistan,Providence,04/09/2017,Ashley Nurse,2017,2017
10*,10,13,76.92,0,0,Pakistan,Providence,04/11/2017,Ashley Nurse,2017,2017
12,12,15,80.0,1,0,Afghanistan,Gros Islet,06/09/2017,Ashley Nurse,2017,2017
19*,19,25,76.0,1,0,India,Port of Spain,06/25/2017,Ashley Nurse,2017,2017
6,6,6,100.0,1,0,India,North Sound,06/30/2017,Ashley Nurse,2017,2017
4,4,12,33.33,0,0,India,North Sound,07/02/2017,Ashley Nurse,2017,2017
0,0,4,0.0,0,0,India,Kingston,07/06/2017,Ashley Nurse,2017,2017
1,1,8,12.5,0,0,England,Manchester,09/19/2017,Ashley Nurse,2017,2017
1,1,5,20.0,0,0,England,Bristol,09/24/2017,Ashley Nurse,2017,2017
31*,31,12,258.33,3,2,England,Southampton,09/29/2017,Ashley Nurse,2017,2017
2,2,8,25.0,0,0,New Zealand,Whangarei,12/20/2017,Ashley Nurse,2017,2017
27,27,33,81.81,3,0,New Zealand,Christchurch,12/23/2017,Ashley Nurse,2017,2017
1,1,7,14.28,0,0,New Zealand,Christchurch,12/26/2017,Ashley Nurse,2017,2017
0*,0,0,0.0,0,0,U.A.E.,Harare,03/06/2018,Ashley Nurse,2018,2018
10*,10,14,71.42,1,0,Ireland,Harare,03/10/2018,Ashley Nurse,2018,2018
10*,10,15,66.66,0,0,Afghanistan,Harare,03/15/2018,Ashley Nurse,2018,2018
8*,8,8,100.0,1,0,Zimbabwe,Harare,03/19/2018,Ashley Nurse,2018,2018
5,5,8,62.5,0,0,Scotland,Harare,03/21/2018,Ashley Nurse,2018,2018
26*,26,29,89.65,3,0,Afghanistan,Harare,03/25/2018,Ashley Nurse,2018,2018
7,7,11,63.63,0,0,Bangladesh,Providence,07/22/2018,Ashley Nurse,2018,2018
3,3,8,37.5,0,0,Bangladesh,Providence,07/25/2018,Ashley Nurse,2018,2018
5*,5,7,71.42,0,0,Bangladesh,Basseterre,07/28/2018,Ashley Nurse,2018,2018
2,2,2,100.0,0,0,India,Guwahati,10/21/2018,Ashley Nurse,2018,2018
5,5,7,71.42,0,0,India,Visakhapatnam,10/24/2018,Ashley Nurse,2018,2018
40,40,22,181.81,4,2,India,Pune,10/27/2018,Ashley Nurse,2018,2018
8,8,13,61.53,1,0,India,Mumbai (BS),10/29/2018,Ashley Nurse,2018,2018
25*,25,8,312.5,1,3,England,Bridgetown,02/20/2019,Ashley Nurse,2019,2019
13*,13,16,81.25,0,0,England,Bridgetown,02/22/2019,Ashley Nurse,2019,2019
43,43,41,104.87,5,0,England,St George's,02/27/2019,Ashley Nurse,2019,2019
19,19,17,111.76,0,1,Bangladesh,Dublin,05/07/2019,Ashley Nurse,2019,2019
14,14,12,116.66,1,0,Bangladesh,Dublin (Malahide),05/13/2019,Ashley Nurse,2019,2019
22,22,30,73.33,4,0,Pakistan,Abu Dhabi,10/05/2016,Evin Lewis,2016,2016
27,27,50,54.0,1,0,Sri Lanka,Harare,11/16/2016,Evin Lewis,2016,2016
18,18,17,105.88,4,0,Zimbabwe,Bulawayo,11/19/2016,Evin Lewis,2016,2016
148,148,122,121.31,15,4,Sri Lanka,Bulawayo,11/23/2016,Evin Lewis,2016,2016
9,9,9,100.0,2,0,Zimbabwe,Bulawayo,11/25/2016,Evin Lewis,2016,2016
21,21,33,63.63,2,0,England,North Sound,03/03/2017,Evin Lewis,2017,2017
8,8,9,88.88,2,0,England,North Sound,03/05/2017,Evin Lewis,2017,2017
0,0,3,0.0,0,0,England,Bridgetown,03/09/2017,Evin Lewis,2017,2017
47,47,63,74.6,3,2,Pakistan,Providence,04/07/2017,Evin Lewis,2017,2017
13,13,14,92.85,2,0,Pakistan,Providence,04/09/2017,Evin Lewis,2017,2017
16,16,22,72.72,1,0,Pakistan,Providence,04/11/2017,Evin Lewis,2017,2017
21,21,47,44.68,0,0,Afghanistan,Gros Islet,06/09/2017,Evin Lewis,2017,2017
33,33,36,91.66,5,0,Afghanistan,Gros Islet,06/11/2017,Evin Lewis,2017,2017
21,21,37,56.75,2,0,India,Port of Spain,06/25/2017,Evin Lewis,2017,2017
2,2,5,40.0,0,0,India,North Sound,06/30/2017,Evin Lewis,2017,2017
35,35,60,58.33,2,2,India,North Sound,07/02/2017,Evin Lewis,2017,2017
9,9,20,45.0,0,0,India,Kingston,07/06/2017,Evin Lewis,2017,2017
11,11,14,78.57,1,0,England,Manchester,09/19/2017,Evin Lewis,2017,2017
13,13,8,162.5,0,2,England,Bristol,09/24/2017,Evin Lewis,2017,2017
176*,176,130,135.38,17,7,England,The Oval,09/27/2017,Evin Lewis,2017,2017
76,76,100,76.0,7,1,New Zealand,Whangarei,12/20/2017,Evin Lewis,2017,2017
10,10,17,58.82,2,0,New Zealand,Christchurch,12/23/2017,Evin Lewis,2017,2017
31,31,49,63.26,3,0,U.A.E.,Harare,03/06/2018,Evin Lewis,2018,2018
8,8,6,133.33,0,1,P.N.G.,Harare,03/08/2018,Evin Lewis,2018,2018
9,9,11,81.81,2,0,Ireland,Harare,03/10/2018,Evin Lewis,2018,2018
27,27,37,72.97,4,0,Afghanistan,Harare,03/15/2018,Evin Lewis,2018,2018
64,64,75,85.33,7,1,Zimbabwe,Harare,03/19/2018,Evin Lewis,2018,2018
66,66,87,75.86,7,2,Scotland,Harare,03/21/2018,Evin Lewis,2018,2018
27,27,36,75.0,6,0,Afghanistan,Harare,03/25/2018,Evin Lewis,2018,2018
17,17,29,58.62,2,1,Bangladesh,Providence,07/22/2018,Evin Lewis,2018,2018
12,12,18,66.66,1,1,Bangladesh,Providence,07/25/2018,Evin Lewis,2018,2018
13,13,33,39.39,1,0,Bangladesh,Basseterre,07/28/2018,Evin Lewis,2018,2018
47,47,81,58.02,4,1,Sri Lanka,Harare,11/16/2016,Shai Hope,2016,2016
101,101,120,84.16,4,4,Zimbabwe,Bulawayo,11/19/2016,Shai Hope,2016,2016
25,25,32,78.12,2,0,Sri Lanka,Bulawayo,11/23/2016,Shai Hope,2016,2016
14,14,22,63.63,2,0,Zimbabwe,Bulawayo,11/25/2016,Shai Hope,2016,2016
31,31,38,81.57,2,0,England,North Sound,03/03/2017,Shai Hope,2017,2017
16,16,27,59.25,1,0,England,North Sound,03/05/2017,Shai Hope,2017,2017
16,16,42,38.09,1,0,England,Bridgetown,03/09/2017,Shai Hope,2017,2017
24,24,34,70.58,1,1,Pakistan,Providence,04/07/2017,Shai Hope,2017,2017
15,15,12,125.0,3,0,Pakistan,Providence,04/09/2017,Shai Hope,2017,2017
